Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated December 08 2025


year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause,tons_inedible_parts,tons_not_fit_for_human_consumption
2024,Foodservice,Bars And Taverns,Dry Goods,Mistakes & Malfunctions,Cooking Issues,46.376433867735976,196386.6628822637,0.0,46.376433867735976
2024,Foodservice,Bars And Taverns,Dry Goods,Mistakes & Malfunctions,Equipment Issues,2.211527723145153,9364.98374710609,0.0,2.211527723145153
2024,Foodservice,Bars And Taverns,Dry Goods,Mistakes & Malfunctions,Handling Errors,30.288492861331232,128260.31543810232,0.0,30.288492861331232
2024,Foodservice,Bars And Taverns,Dry Goods,Other,Other,8.862522972158692,37529.43394016541,0.0,8.862522972158692
2024,Foodservice,Bars And Taverns,Dry Goods,Spoiled,Spoiled,46.20410703216622,195656.9238889827,0.0,46.20410703216622
2024,Foodservice,Bars And Taverns,Dry Goods,Trimmings & Byproducts,Trimmings & Byproducts,51.21799734326711,216888.85364587256,51.21799734326711,51.21799734326711
2024,Foodservice,Bars And Taverns,Fresh Meat & Seafood,Date Label Concerns,Date Label Concerns,267.1958750152303,1644067.3125100827,37.64306668617182,0.0
2024,Foodservice,Bars And Taverns,Fresh Meat & Seafood,Mistakes & Malfunctions,Cooking Issues,40.865596606962654,251447.71259623906,5.757223528089298,40.865596606962654
2024,Foodservice,Bars And Taverns,Fresh Meat & Seafood,Mistakes & Malfunctions,Equipment Issues,7.715471577624677,47473.616951048716,1.086970414851028,7.715471577624677
2024,Foodservice,Bars And Taverns,Fresh Meat & Seafood,Mistakes & Malfunctions,Handling Errors,73.86903966714426,454519.2679952117,10.406811804543327,73.86903966714426
2024,Foodservice,Bars And Taverns,Fresh Meat & Seafood,Other,Other,9.426761217782241,58003.253156921375,1.3280601773338294,9.426761217782241
2024,Foodservice,Bars And Taverns,Fresh Meat & Seafood,Spoiled,Spoiled,318.5736794117323,1960197.0760852539,44.881270183798335,318.5736794117323
2024,Foodservice,Bars And Taverns,Fresh Meat & Seafood,Trimmings & Byproducts,Trimmings & Byproducts,260.233370879275,1601226.735489618,260.233370879275,260.233370879275
2024,Foodservice,Bars And Taverns,Frozen,Date Label Concerns,Date Label Concerns,0.4245655669917207,1305.0662073361398,0.004731214402767826,0.0
2024,Foodservice,Bars And Taverns,Frozen,Mistakes & Malfunctions,Cooking Issues,0.07086038876440282,217.81676613668924,0.000789644092627177,0.07086038876440282
2024,Foodservice,Bars And Taverns,Frozen,Mistakes & Malfunctions,Equipment Issues,0.02515256469553506,77.316119732861,0.0002802916336274709,0.02515256469553506
