Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated December 08 2025


year,sector,sub_sector,sub_sector_category,food_type,food_category,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_inedible_parts,tons_not_fit_for_human_consumption,tons_donations,tons_industrial_uses,tons_animal_feed,tons_anaerobic_digestion,tons_composting,tons_not_harvested,tons_incineration,tons_land_application,tons_landfill,tons_sewer,tons_dumping,surplus_upstream_100_year_mtco2e_footprint,surplus_downstream_100_year_mtco2e_footprint,surplus_total_100_year_mtco2e_footprint,surplus_upstream_100_year_mtch4_footprint,surplus_downstream_100_year_mtch4_footprint,surplus_total_100_year_mtch4_footprint,gallons_water_footprint,meals_wasted
2024,Farm,Not Applicable,Not Applicable,Dry Goods,Nuts And Seeds,163363.96545,6172508.96545,258246388.45619798,163363.96545,163363.96545,0.0,67080.46089286616,0.0,0.0,0.0,0.0,0.0,163363.96545,0.0,0.0,0.0,0.0,0.0,597072.952102745,-30892.562939172396,566180.3891635726,1115.6934169078065,0.0,1115.6934169078065,91036392201.16159,272273275.75
2024,Farm,Not Applicable,Not Applicable,Dry Goods,"Pickles, Olives, And Pickled Vegetables",4099.706,166398.375,3631986.31056,3955.140902479,4089.3300286696,0.0,1967.396173338428,10.37597133040001,0.0,134.1891261906001,0.0,0.0,3898.375,0.1529848819319652,0.0,5.42400954106804,0.0,51.18890805600004,14955.99152937893,-815.404140018961,14140.58738935997,27.9468383786134,0.1525801865305804,28.09941856514397,2281715841.0726137,6815550.047782668
2024,Farm,Not Applicable,Not Applicable,Produce,Apples,3039113.0945,7946064.644,1685797391.82,2393446.4475988047,2992771.213007691,303911.30945,1613936.4624854107,46341.88149230921,0.0,599324.7654088862,0.0,0.0,2139914.644,2645.654791095823,0.0,22262.703800520678,0.0,228623.44500718798,630803.798546253,-79217.50441882525,551586.2941274277,2219.093507705302,198.45900756593846,2417.5525152712407,95668478521.27121,4987952021.679484
2024,Farm,Not Applicable,Not Applicable,Produce,Apricots,14064.0216950873,44258.4639,19265321.160070196,11111.012378551126,13852.073302756071,984.4815186561109,7446.551013610799,211.94839233123,0.0,2741.0609242049427,0.0,0.0,9951.463899999999,3.234630964882964,0.0,110.68578808368406,0.0,1045.6280595025596,2919.5404730637415,-368.6837262691222,2550.8567467946195,10.27059970816515,0.9941343829638675,11.264734091129016,442762194.78792447,23086788.837926783
2024,Farm,Not Applicable,Not Applicable,Produce,Artichokes,3568.152,35817.6,7207667.04,2598.118798968,3500.0490373632,2140.8912,2302.516679222441,68.10296263680002,0.0,901.9302383952,0.0,0.0,2217.6,0.981604987458031,0.0,34.802359228541974,0.0,344.73483475200004,738.4992549185619,-80.71540060770727,657.7838543108546,2.5979534457651488,0.3106853613084108,2.90863880707356,112104941.78168488,5833415.062272
2024,Farm,Not Applicable,Not Applicable,Produce,Asparagus,8411.837491412,31307.8466,20803858.49051815,6670.807420989837,8289.605277391529,3953.5636209636396,4374.636980159354,122.23221402047086,0.0,1618.7978564016923,0.0,0.0,5987.8466,6.247659260688321,0.0,57.97793391765427,0.0,618.7352278114942,1746.9073849438632,-222.73306771594514,1524.174317227918,6.145414541613813,0.5138717551384508,6.659286296752265,264892616.85818297,13816008.795652548
2024,Farm,Not Applicable,Not Applicable,Produce,Avocados,102570.86834230801,269300.09640000004,279480763.3431392,80784.77154299655,101007.19965832197,33848.38655296164,54467.394827935685,1563.6686839860356,0.0,20222.428115325427,0.0,0.0,72230.0964,38.305836658649454,0.0,802.1524927181806,0.0,7714.216813619704,21289.853484896437,-2673.9326848039477,18615.92080009249,74.89519840750714,7.193462965859939,82.08866137336707,3228842436.7952495,168345332.76386997
2024,Farm,Not Applicable,Not Applicable,Produce,Bananas,1743.0218999999995,4557.3048,3155236.04,1372.7128425039,1716.4434503613595,627.4878839999999,925.6406431243452,26.57844963864,0.0,343.73060785746,0.0,0.0,1227.3048,2.604486362448033,0.0,11.681199351851967,0.0,131.1223567896,361.7847711752232,-45.43354764043645,316.35122353478675,1.2727162372068677,0.1032193364266737,1.3759355736335412,54868722.55725965,2860739.0839356
2024,Farm,Not Applicable,Not Applicable,Produce,Bell Peppers,147093.78650000002,666993.7864999999,182499133.97381887,147093.78650000002,147093.78650000002,26476.878284999995,61930.88783429971,0.0,0.0,0.0,0.0,0.0,147093.78650000002,0.0,0.0,0.0,0.0,0.0,30877.11130586159,-5704.7969800227265,25172.314325838863,108.62204284983775,0.0,108.62204284983775,4665951147.92651,245156310.83333337
2024,Farm,Not Applicable,Not Applicable,Produce,Blackberries,8814.75,28939.75,13628370.000000002,8814.75,8814.75,352.5899999999999,3489.693971644471,0.0,0.0,0.0,0.0,0.0,8814.75,0.0,0.0,0.0,0.0,0.0,1850.3433989942423,-341.8659644039779,1508.4774345902647,6.509290262988826,0.0,6.509290262988826,279612034.33419806,14691250.0
